"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"89","O00555: (10/6)",3,0.86106014251709,0.604122757911682,0.793968677520752,0.733333333333333,20,0.733333333333333,0.833333333333333,16,0.5
"90","O00555: (10/6)",4,0.938490867614746,0.718927562236786,0.795934438705444,0.816666666666667,19,0.75,0.833333333333333,16,0.5
"91","Q14654: (6/7)",0,0.433555990457535,0.334216237068176,0.672369480133057,0.619047619047619,20,0.619047619047619,0.904761904761905,16,0.5
"92","Q14654: (6/7)",1,0.539466142654419,0.516359627246857,0.552892446517944,0.738095238095238,15,0.619047619047619,0.904761904761905,1,0.5
"93","Q14654: (6/7)",2,0.348104745149612,0.288085430860519,0.45282393693924,0.761904761904762,19,0.785714285714286,0.857142857142857,1,0.5
"94","Q14654: (6/7)",3,0.610755503177643,0.566607892513275,0.631033420562744,0.619047619047619,1,0.785714285714286,0.880952380952381,17,0.5
"95","Q14654: (6/7)",4,0.611049711704254,0.566602468490601,0.631024241447449,0.595238095238095,1,0.5,0.738095238095238,14,0.5
"96","Q99250: (5/15)",0,0.274607926607132,0.135890945792198,0.388787806034088,0.64,15,0.533333333333333,0.88,10,0.5
"97","Q99250: (5/15)",1,0.193858906626701,0.0545905828475952,0.453409999608994,0.746666666666667,20,0.746666666666667,0.746666666666667,20,0.5
"98","Q99250: (5/15)",2,0.295607149600983,0.246281981468201,0.394536197185516,0.72,12,0.72,0.746666666666667,13,0.5
"99","Q99250: (5/15)",3,0.276172637939453,0.272264391183853,0.385214954614639,0.546666666666667,10,0.6,0.68,13,0.5
"100","Q99250: (5/15)",4,0.226081922650337,0.111750110983849,0.508717656135559,0.546666666666667,16,0.586666666666667,0.84,6,0.5
"101","Q14524: (18/16)",0,0.672892570495605,0.571724414825439,0.684904038906097,0.65625,11,0.541666666666667,0.673611111111111,6,0.5
"102","Q14524: (18/16)",1,0.71279114484787,0.569370329380035,0.813604116439819,0.583333333333333,13,0.548611111111111,0.628472222222222,6,0.5
"103","Q14524: (18/16)",2,0.644709587097168,0.626259088516235,0.630318403244019,0.795138888888889,12,0.8125,0.829861111111111,19,0.5
"104","Q14524: (18/16)",3,0.626984357833862,0.560430705547333,0.695398926734924,0.645833333333333,12,0.524305555555556,0.71875,7,0.5
"105","Q14524: (18/16)",4,0.639818429946899,0.645373582839966,0.654383957386017,0.6875,12,0.715277777777778,0.736111111111111,6,0.5
"106","P15056.PF00130: (8/11)",0,0.481208562850952,0.481846153736115,0.579937279224396,0.704545454545455,1,0.840909090909091,0.875,18,0.5
"107","P15056.PF00130: (8/11)",1,0.315599679946899,0.159384191036224,0.652434945106506,0.659090909090909,13,0.704545454545455,0.818181818181818,16,0.5
"108","P15056.PF00130: (8/11)",2,0.204962402582169,0.132773220539093,0.567117869853973,0.727272727272727,16,0.681818181818182,0.818181818181818,8,0.5
"109","P15056.PF00130: (8/11)",3,0.47027188539505,0.163100466132164,0.597375273704529,0.681818181818182,11,0.784090909090909,0.863636363636364,3,0.5
"110","P15056.PF00130: (8/11)",4,0.497773498296738,0.474509418010712,0.583078026771545,0.784090909090909,1,0.852272727272727,0.875,13,0.5
"111","P15056.PF07714: (8/11)",0,0.355931878089905,0.281965404748917,0.668915092945099,0.659090909090909,4,0.602272727272727,0.715909090909091,14,0.5
"112","P15056.PF07714: (8/11)",1,0.297675639390945,0.0826555788516998,1.07223725318909,0.534090909090909,11,0.613636363636364,0.715909090909091,4,0.5
"113","P15056.PF07714: (8/11)",2,0.359254211187363,0.173431023955345,0.726166963577271,0.579545454545455,6,0.670454545454546,0.75,10,0.5
"114","P15056.PF07714: (8/11)",3,0.409732639789581,0.418145418167114,0.660501301288605,0.5,2,0.5,0.693181818181818,1,0.5
"115","P15056.PF07714: (8/11)",4,0.254835456609726,0.187737658619881,0.503475785255432,0.795454545454545,6,0.772727272727273,0.897727272727273,10,0.5
"116","P15056.PF02196: (8/11)",0,0.407618910074234,0.373148143291473,0.495595991611481,0.784090909090909,10,0.727272727272727,0.852272727272727,9,0.5
"117","P15056.PF02196: (8/11)",1,0.329817533493042,0.179010421037674,0.539323031902313,0.75,13,0.761363636363636,0.818181818181818,19,0.5
"118","P15056.PF02196: (8/11)",2,0.241807609796524,0.24209563434124,0.567329108715057,0.693181818181818,18,0.602272727272727,0.806818181818182,12,0.5
"119","P15056.PF02196: (8/11)",3,0.472529321908951,0.384158343076706,0.62249767780304,0.647727272727273,10,0.681818181818182,0.704545454545455,3,0.5
"120","P15056.PF02196: (8/11)",4,0.473296344280243,0.457644045352936,0.572246015071869,0.806818181818182,7,0.977272727272727,0.977272727272727,20,0.5
"121","P21802.PF07679: (4/13)",0,0.57040411233902,0.106574937701225,0.204726383090019,0.923076923076923,11,1,1,10,0.5
"122","P21802.PF07679: (4/13)",1,0.525025248527527,0.351688832044601,0.213859245181084,0.961538461538462,7,1,1,8,0.5
"123","P21802.PF07679: (4/13)",2,0.18514646589756,0.0702633187174797,0.668240666389465,0.634615384615385,16,0.673076923076923,0.807692307692308,5,0.5
"124","P21802.PF07679: (4/13)",3,0.371345698833466,0.10658323764801,0.517537653446198,0.673076923076923,11,0.596153846153846,0.788461538461538,9,0.5
"125","P21802.PF07679: (4/13)",4,0.469195306301117,0.497554242610931,0.402274072170258,0.730769230769231,4,0.596153846153846,0.730769230769231,4,0.5
