"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"113","Q14524: (18/16)",2,0.675271928310394,0.572845995426178,0.579646408557892,0.798611111111111,13,0.791666666666667,0.815972222222222,17,0.5
"114","Q14524: (18/16)",3,0.568207383155823,0.377571791410446,0.83261501789093,0.649305555555556,16,0.520833333333333,0.798611111111111,12,0.5
"115","Q14524: (18/16)",4,0.65211546421051,0.617422997951508,0.726759552955627,0.621527777777778,10,0.607638888888889,0.6875,17,0.5
"116","P15056.PF00130: (8/11)",0,0.448080837726593,0.320782005786896,0.423187404870987,0.829545454545455,10,0.806818181818182,0.829545454545455,10,0.5
"117","P15056.PF00130: (8/11)",1,0.362669229507446,0.313124477863312,0.559058904647827,0.602272727272727,10,0.681818181818182,0.818181818181818,11,0.5
"118","P15056.PF00130: (8/11)",2,0.264788031578064,0.202939823269844,0.51867949962616,0.772727272727273,17,0.761363636363636,0.772727272727273,17,0.5
"119","P15056.PF00130: (8/11)",3,0.393442392349243,0.382432997226715,0.554191052913666,0.715909090909091,8,0.670454545454545,0.897727272727273,12,0.5
"120","P15056.PF00130: (8/11)",4,0.317611157894135,0.206560298800468,0.407579034566879,0.840909090909091,13,0.727272727272727,0.840909090909091,13,0.5
"121","P15056.PF07714: (8/11)",0,0.363822400569916,0.28010019659996,0.577454030513763,0.636363636363636,4,0.727272727272727,0.829545454545455,6,0.5
"122","P15056.PF07714: (8/11)",1,0.337717026472092,0.235528156161308,0.62515664100647,0.636363636363636,5,0.704545454545455,0.761363636363636,2,0.5
"123","P15056.PF07714: (8/11)",2,0.343887686729431,0.197299718856812,0.527563035488129,0.727272727272727,6,0.647727272727273,0.738636363636364,9,0.5
"124","P15056.PF07714: (8/11)",3,0.370996654033661,0.280602335929871,0.775656044483185,0.534090909090909,4,0.579545454545455,0.75,5,0.5
"125","P15056.PF07714: (8/11)",4,0.380694150924683,0.227242067456245,0.573716282844543,0.840909090909091,5,0.852272727272727,0.954545454545455,6,0.5
"126","P15056.PF02196: (8/11)",0,0.396992534399033,0.324386179447174,0.411792427301407,0.897727272727273,13,0.852272727272727,0.931818181818182,16,0.5
"127","P15056.PF02196: (8/11)",1,0.284425646066666,0.274237811565399,0.425241857767105,0.909090909090909,15,0.909090909090909,0.909090909090909,15,0.5
"128","P15056.PF02196: (8/11)",2,0.363141149282455,0.281584620475769,0.487130969762802,0.784090909090909,12,0.806818181818182,0.863636363636364,19,0.5
"129","P15056.PF02196: (8/11)",3,0.435686945915222,0.214505285024643,0.317665010690689,0.863636363636364,19,0.829545454545455,0.863636363636364,16,0.5
"130","P15056.PF02196: (8/11)",4,0.328263610601425,0.128441885113716,0.607223331928253,0.829545454545455,20,0.829545454545455,0.897727272727273,13,0.5
"131","P21802.PF07679: (4/13)",0,0.651337206363678,0.511601209640503,0.268436431884766,0.730769230769231,7,0.942307692307692,0.961538461538462,17,0.5
"132","P21802.PF07679: (4/13)",1,0.643912315368652,0.646760106086731,0.212579891085625,0.942307692307692,6,0.923076923076923,0.961538461538462,17,0.5
"133","P21802.PF07679: (4/13)",2,0.520917594432831,0.0451500900089741,0.837288916110992,0.653846153846154,16,0.788461538461538,0.884615384615385,3,0.5
"134","P21802.PF07679: (4/13)",3,0.311807364225388,0.14458629488945,0.200761616230011,0.884615384615385,15,0.865384615384615,0.884615384615385,13,0.5
"135","P21802.PF07679: (4/13)",4,0.457434713840485,0.193070486187935,0.267827302217484,0.865384615384615,11,0.788461538461538,0.865384615384615,11,0.5
